Home_Team,Away_Team,Home_Score,Away_Score,Date,Year,Venue,Attendance,Result
Argentina,France,3,3,2022-12-18,2022,"Lusail Iconic Stadium, Lusail",88966,Draw
Croatia,Morocco,2,1,2022-12-17,2022,"Khalifa International Stadium, Doha",44137,Home Win
France,Morocco,2,0,2022-12-14,2022,"Al Bayt Stadium, Al Khor",68294,Home Win
Argentina,Croatia,3,0,2022-12-13,2022,"Lusail Iconic Stadium, Lusail",88966,Home Win
Morocco,Portugal,1,0,2022-12-10,2022,"Al Thumama Stadium, Ath-Thumāma",44198,Home Win
England,France,1,2,2022-12-10,2022,"Al Bayt Stadium, Al Khor",68895,Away Win
Croatia,Brazil,1,1,2022-12-09,2022,"Education City Stadium, Doha",43893,Draw
Netherlands,Argentina,2,2,2022-12-09,2022,"Lusail Iconic Stadium, Lusail",88235,Draw
Morocco,Spain,0,0,2022-12-06,2022,"Education City Stadium, Doha",44667,Draw
Portugal,Switzerland,6,1,2022-12-06,2022,"Lusail Iconic Stadium, Lusail",83720,Home Win
Japan,Croatia,1,1,2022-12-05,2022,"Al Janoub Stadium, Al Wakrah",42523,Draw
Brazil,Korea Republic,4,1,2022-12-05,2022,"Stadium 974, Doha",43847,Home Win
France,Poland,3,1,2022-12-04,2022,"Al Thumama Stadium, Ath-Thumāma",40989,Home Win
England,Senegal,3,0,2022-12-04,2022,"Al Bayt Stadium, Al Khor",65985,Home Win
Netherlands,United States,3,1,2022-12-03,2022,"Khalifa International Stadium, Doha",44846,Home Win
Argentina,Australia,2,1,2022-12-03,2022,"Ahmed Bin Ali Stadium, Umm Al-Afā'Ī",45032,Home Win
Korea Republic,Portugal,2,1,2022-12-02,2022,"Education City Stadium, Doha",44097,Home Win
Ghana,Uruguay,0,2,2022-12-02,2022,"Al Janoub Stadium, Al Wakrah",43443,Away Win
Cameroon,Brazil,1,0,2022-12-02,2022,"Lusail Iconic Stadium, Lusail",85986,Home Win
Serbia,Switzerland,2,3,2022-12-02,2022,"Stadium 974, Doha",41378,Away Win
